,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,Size,X,Y,Z,Size,X,Y,Z,Size,X,Y,Z,Size,X,Y,Z,Size,X,Y,Z,Size,X,Y,Z,Size
159,1.325,-128.905746,88.110085,32.026665,0.012915,,,,,,,,,,,,,,,,,,,,,,,,
160,1.333333,-128.919205,88.105476,32.0303,0.012915,,,,,,,,,,,,,,,,,,,,,,,,
161,1.341667,-128.855667,88.124878,32.026653,0.012915,,,,,,,,,,,,,,,,,,,,,,,,
162,1.35,-128.969894,88.09935,32.031231,0.012915,,,,,,,,,,,,,,,,,,,,,,,,
163,1.358333,-128.907867,88.114967,32.03104,0.012915,,,,,,,,,,,,,,,,,,,,,,,,
164,1.366667,-128.856735,88.121559,32.02877,0.012915,,,,,,,,,,,,,,,,,,,,,,,,
165,1.375,-128.829712,88.120453,32.028786,0.012915,,,,,,,,,,,,,,,,,,,,,,,,
166,1.383333,-128.878448,88.11927,32.03146,0.012915,,,,,,,,,,,,,,,,,,,,,,,,
167,1.391667,-128.891174,88.109634,32.029377,0.012915,,,,,,,,,,,,,,,,,,,,,,,,
168,1.4,-128.879395,88.118233,32.029816,0.012915,,,,,,,,,,,,,,,,,,,,,,,,
169,1.408333,-128.962067,88.094955,32.033302,0.012915,,,,,,,,,,,,,,,,,,,,,,,,
170,1.416667,-128.917831,88.108292,32.03199,0.012915,,,,,,,,,,,,,,,,,,,,,,,,
171,1.425,-128.932465,88.103012,32.034245,0.012915,,,,,,,,,,,,,,,,,,,,,,,,
172,1.433333,-128.913147,88.101341,32.030338,0.012915,,,,,,,,,,,,,,,,,,,,,,,,
173,1.441667,-128.920776,88.109314,32.030285,0.012915,,,,,,,,,,,,,,,,,,,,,,,,
174,1.45,-128.948563,88.103577,32.032349,0.012915,,,,,,,,,,,,,,,,,,,,,,,,
175,1.458333,-128.912704,88.110992,32.030106,0.012915,,,,,,,,,,,,,,,,,,,,,,,,
176,1.466667,-128.889435,88.115105,32.027332,0.012915,,,,,,,,,,,,,,,,,,,,,,,,
177,1.475,-128.915161,88.114098,32.032185,0.012915,,,,,,,,,,,,,,,,,,,,,,,,
178,1.483333,-128.888458,88.113388,32.032059,0.012915,,,,,,,,,,,,,,,,,,,,,,,,
179,1.491667,-128.944656,88.107475,32.033432,0.012915,,,,,,,,,,,,,,,,,,,,,,,,
180,1.5,-128.938599,88.107208,32.03315,0.012915,,,,,,,,,,,,,,,,,,,,,,,,
181,1.508333,-128.900787,88.114967,32.032806,0.012915,,,,,,,,,,,,,,,,,,,,,,,,
182,1.516667,-128.737122,88.154144,32.025948,0.012915,,,,,,,,,,,,,,,,,,,,,,,,
183,1.525,-128.784149,88.140282,32.026077,0.012915,,,,,,,,,,,,,,,,,,,,,,,,
184,1.533333,-128.92511,88.112419,32.029427,0.012915,,,,,,,,,,,,,,,,,,,,,,,,
185,1.541667,-128.873184,88.124008,32.030941,0.012915,,,,,,,,,,,,,,,,,,,,,,,,
186,1.55,-128.88765,88.111267,32.03001,0.012915,,,,,,,,,,,,,,,,,,,,,,,,
187,1.558333,-128.880005,88.117897,32.03117,0.012915,,,,,,,,,,,,,,,,,,,,,,,,
188,1.566667,-128.863846,88.124062,32.030182,0.012915,,,,,,,,,,,,,,,,,,,,,,,,
189,1.575,-128.811829,88.137833,32.028316,0.012915,,,,,,,,,,,,,,,,,,,,,,,,
190,1.583333,-128.918304,88.112129,32.03326,0.012915,,,,,,,,,,,,,,,,,,,,,,,,
191,1.591667,-128.970856,88.112541,32.034664,0.012915,,,,,,,,,,,,,,,,,,,,,,,,
192,1.6,-128.873123,88.122932,32.029301,0.012915,,,,,,,,,,,,,,,,,,,,,,,,
193,1.608333,-128.906586,88.130035,32.030445,0.012915,,,,,,,,,,,,,,,,,,,,,,,,
194,1.616667,-128.948853,88.120911,32.035057,0.012915,,,,,,,,,,,,,,,,,,,,,,,,
195,1.625,-128.793701,88.151558,32.028641,0.012915,,,,,,,,,,,,,,,,,,,,,,,,
196,1.633333,-129.012558,88.109901,32.037308,0.012915,,,,,,,,,,,,,,,,,,,,,,,,
197,1.641667,-128.867035,88.130806,32.028423,0.012915,,,,,,,,,,,,,,,,,,,,,,,,
198,1.65,-128.966873,88.107643,32.034088,0.012915,,,,,,,,,,,,,,,,,,,,,,,,
199,1.658333,-128.995239,88.100853,32.037086,0.012915,,,,,,,,,,,,,,,,,,,,,,,,
200,1.666667,-128.862885,88.121048,32.029919,0.012915,,,,,,,,,,,,,,,,,,,,,,,,
201,1.675,-128.906723,88.113754,32.032906,0.012915,,,,,,,,,,,,,,,,,,,,,,,,
202,1.683333,-128.9216,88.109299,32.032524,0.012915,,,,,,,,,,,,,,,,,,,,,,,,
203,1.691667,-128.931885,88.111961,32.029758,0.012915,,,,,,,,,,,,,,,,,,,,,,,,
204,1.7,-128.877838,88.121346,32.026337,0.012915,,,,,,,,,,,,,,,,,,,,,,,,
205,1.708333,-128.906845,88.120064,32.029705,0.012915,,,,,,,,,,,,,,,,,,,,,,,,
206,1.716667,-128.956253,88.116684,32.03223,0.012915,,,,,,,,,,,,,,,,,,,,,,,,
207,1.725,-128.893738,88.121956,32.025417,0.012915,,,,,,,,,,,,,,,,,,,,,,,,
208,1.733333,-128.864853,88.126961,32.02837,0.012915,,,,,,,,,,,,,,,,,,,,,,,,
209,1.741667,-128.972229,88.115105,32.032967,0.012915,,,,,,,,,,,,,,,,,,,,,,,,
210,1.75,-128.802841,88.146767,32.022812,0.012915,,,,,,,,,,,,,,,,,,,,,,,,
211,1.758333,-128.860062,88.138214,32.025517,0.012915,,,,,,,,,,,,,,,,,,,,,,,,
212,1.766667,-128.775436,88.150398,32.023273,0.012915,,,,,,,,,,,,,,,,,,,,,,,,
213,1.775,-128.894867,88.129494,32.030716,0.012915,,,,,,,,,,,,,,,,,,,,,,,,
214,1.783333,-129.009338,88.104118,32.029881,0.012915,,,,,,,,,,,,,,,,,,,,,,,,
215,1.791667,-128.944351,88.117088,32.028709,0.012915,,,,,,,,,,,,,,,,,,,,,,,,
216,1.8,-128.846329,88.132317,32.020477,0.012915,,,,,,,,,,,,,,,,,,,,,,,,
217,1.808333,-128.868958,88.130333,32.016853,0.012915,,,,,,,,,,,,,,,,,,,,,,,,
218,1.816667,-128.810486,88.13858,32.013569,0.012915,,,,,,,,,,,,,,,,,,,,,,,,
219,1.825,-128.860168,88.131081,32.013252,0.012915,,,,,,,,,,,,,,,,,,,,,,,,
220,1.833333,-128.776764,88.139847,32.00412,0.012915,,,,,,,,,,,,,,,,,,,,,,,,
221,1.841667,-128.803284,88.12867,31.998405,0.012915,,,,,,,,,,,,,,,,,,,,,,,,
222,1.85,-128.836533,88.119347,31.99617,0.012915,,,,,,,,,,,,,,,,,,,,,,,,
223,1.858333,-128.704987,88.1325,31.986824,0.012915,,,,,,,,,,,,,,,,,,,,,,,,
224,1.866667,-128.744034,88.121429,31.978189,0.012915,,,,,,,,,,,,,,,,,,,,,,,,
225,1.875,-128.763809,88.112999,31.977785,0.012915,,,,,,,,,,,,,,,,,,,,,,,,
226,1.883333,-128.670364,88.119362,31.96088,0.012915,,,,,,,,,,,,,,,,,,,,,,,,
227,1.891667,-128.689438,88.112289,31.961441,0.012915,,,,,,,,,,,,,,,,,,,,,,,,
228,1.9,-128.607391,88.119537,31.946131,0.012915,,,,,,,,,,,,,,,,,,,,,,,,
229,1.908333,-128.543167,88.122528,31.934027,0.012915,,,,,,,,,,,,,,,,,,,,,,,,
230,1.916667,-128.527145,88.116547,31.924671,0.012915,,,,,,,,,,,,,,,,,,,,,,,,
231,1.925,-128.364197,88.144211,31.90333,0.012915,,,,,,,,,,,,,,,,,,,,,,,,
232,1.933333,-128.439896,88.122505,31.896755,0.012915,,,,,,,,,,,,,,,,,,,,,,,,
